scientific_name,protein_acc,biosample_acc,target_acc,contig_acc,start_on_contig,end_on_contig,strand,element_symbol,element_name,type,scope,subtype,class,subclass,amr_method,pct_ref_coverage,pct_ref_identity,taxgroup_name,strain,serovar,element_length,reference_element_length,align_length,hmm_acc,hmm_description,geo_loc_name,isolation_source,epi_type,host,asm_acc,collection_date,Run,closest_reference_acc,closest_reference_name,rel_asm_cov,contig_coverage,asm_coverage,amrfinderplus_version,amrfinderplus_analysis_type,refgene_db_version,target_data_id,contig_url,protein_url,hierarchy_node
Staphylococcus aureus,HDJ4602036.1,SAMN07719242,PDT001599913.1,DANCXC010000004.1,48829,50124,-,pbp4_E183A,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.61,Staphylococcus aureus,,,431,431,431,,,USA: NC,nares,clinical,Homo sapiens,GCA_028393605.1,2011,SRR6118111,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,1.06452,66,62,3.11.26,COMBINED,2023-08-08.2,13036659,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/1599/913/DANCXC010000004.1.fna.gz,gs://ncbi-pathogen-proteins/HDJ/460/203/HDJ4602036.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMN03219989,PDT000050088.2,NZ_JXIE01000097.1,342999,344294,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,SA-083,,431,431,431,,,Switzerland: Bern,food,environmental/other,,GCA_000877925.1,2007,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.91954,80,87,3.11.26,COMBINED,2023-08-08.2,27149289,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/50/088/NZ_JXIE01000097.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA2298737,PDT000164715.2,NZ_FMPE01000001.1,142639,143934,-,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,MRSA079AT,,431,431,431,,,Tanzania,wound,clinical,Homo sapiens,GCA_900097945.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.951724,138,145,3.11.26,COMBINED,2023-11-15.1,31053489,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/164/715/NZ_FMPE01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA2298727,PDT000165016.2,NZ_FMSG01000002.1,828705,830000,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,MRSA012TB,,431,431,431,,,Tanzania,nasal,clinical,Homo sapiens,GCA_900098645.1,2013,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.908451,129,142,3.11.26,COMBINED,2023-08-08.2,1613899,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/165/016/NZ_FMSG01000002.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3448880,PDT000170474.2,NZ_FQHE01000001.1,1226291,1227586,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6124859,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900125725.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.922118,296,321,3.11.26,COMBINED,2023-08-08.2,26925739,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/170/474/NZ_FQHE01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3449397,PDT000170547.2,NZ_FQHH01000001.1,1212670,1213965,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6124862,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900125745.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.9375,225,240,3.11.26,COMBINED,2023-08-08.2,27389369,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/170/547/NZ_FQHH01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3448856,PDT000170664.2,NZ_FQGM01000001.1,1211932,1213227,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6124835,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900125555.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.883562,258,292,3.11.26,COMBINED,2023-08-08.2,27406929,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/170/664/NZ_FQGM01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3448871,PDT000170822.2,NZ_FQGX01000001.1,1158122,1159417,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6124850,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900125665.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.885196,293,331,3.11.26,COMBINED,2023-08-08.2,26975449,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/170/822/NZ_FQGX01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3448865,PDT000170823.2,NZ_FQGS01000001.1,1211885,1213180,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6124844,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900125615.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.885417,255,288,3.11.26,COMBINED,2023-08-08.2,27407399,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/170/823/NZ_FQGS01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
Staphylococcus aureus,WP_043044695.1,SAMEA3448931,PDT000171108.2,NZ_FQND01000001.1,1213290,1214585,+,pbp4_E218K,Staphylococcus aureus cephalosporin resistant Pbp4,AMR,core,POINT,BETA-LACTAM,CEPHALOSPORIN,POINTP,100.0,98.84,Staphylococcus aureus,3688STDY6124921,,431,431,431,,,Thailand,,clinical,Homo sapiens,GCA_900126145.1,2015,,WP_123090655.1,D-alanyl-D-alanine carboxypeptidase,0.929752,225,242,3.11.26,COMBINED,2023-08-08.2,27405179,gs://ncbi-pathogen-assemblies/Staphylococcus_aureus/171/108/NZ_FQND01000001.1.fna.gz,gs://ncbi-pathogen-proteins/WP_/043/044/WP_043044695.1.faa.gz,pbp4
